PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT
116,396,6,3,4,"4-amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid",-2.3,C10H11NO5,225.20,C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O,110,0,16
117,127,4,3,1,4-amino-1H-imidazole-5-carboxylic acid,0.1,C4H5N3O2,127.10,C1=NC(=C(N1)C(=O)O)N,92,0,9
118,36.5,2,1,3,4-aminobutanal,-0.9,C4H9NO,87.12,C(CC=O)CN,43.1,0,6
119,62.7,3,2,3,4-aminobutanoic acid,,C4H9NO2,103.12,C(CC(=O)O)CN,63.3,0,7
120,236,4,1,1,2-(5-oxofuran-2-ylidene)acetic acid,0,C6H4O4,140.09,C1=CC(=O)OC1=CC(=O)O,63.6,0,10
121,885,14,8,11,"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,3,4-trihydroxy-3-methylbutyl) hydrogen phosphate",,C14H25N3O14P2,521.31,CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O,271,0,33
122,301,6,2,6,"4,6-dioxooct-2-enedioic acid",-0.7,C8H8O6,200.14,C(C(=O)CC(=O)O)C(=O)C=CC(=O)O,109,0,14
123,139,2,3,4,4-(diaminomethylideneamino)butanamide,-2.1,C5H12N4O,144.18,C(CC(=O)N)CN=C(N)N,107,0,10
124,129,4,2,3,4-hydroxy-2-oxopentanoic acid,-0.6,C5H8O4,132.11,CC(CC(=O)C(=O)O)O,74.6,0,9
125,75,2,2,1,4-(hydroxymethyl)phenol,,C7H8O2,124.14,C1=CC(=CC=C1CO)O,40.5,0,9
126,93.1,2,1,1,4-hydroxybenzaldehyde,,C7H6O2,122.12,C1=CC(=CC=C1C=O)O,37.3,0,9
127,136,3,2,2,2-(4-hydroxyphenyl)acetic acid,,C8H8O3,152.15,C1=CC(=CC=C1CC(=O)O)O,57.5,0,11
128,212,4,2,3,"3-(5-oxo-1,4-dihydroimidazol-4-yl)propanoic acid",-0.9,C6H8N2O3,156.14,C1=NC(C(=O)N1)CCC(=O)O,78.8,0,11
129,48.1,1,0,3,4-methylpentanal,1.3,C6H12O,100.16,CC(C)CCC=O,17.1,0,7
130,319,8,4,6,"2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid",,C7H8O8,220.13,C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O,149,0,15
131,376,8,5,8,"3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid",-2.2,C9H18NO8P,299.21,CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O,153,0,19
132,537,10,7,11,"2-[3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamino]-3-sulfanylpropanoic acid",-2.5,C12H23N2O9PS,402.36,CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O,183,0,25
133,83.4,1,0,4,trimethyl(4-oxobutyl)azanium,0.1,C7H16NO+,130.21,C[N+](C)(C)CCCC=O,17.1,1,9
134,115,2,1,4,3-carboxypropyl(trimethyl)azanium,0.1,C7H16NO2+,146.21,C[N+](C)(C)CCCC(=O)O,37.3,1,10
135,125,3,2,1,4-hydroxybenzoic acid,,C7H6O3,138.12,C1=CC(=CC=C1C(=O)O)O,57.5,0,10
137,121,4,2,4,5-amino-4-oxopentanoic acid,-3.8,C5H9NO3,131.13,C(CC(=O)O)C(=O)CN,80.4,0,9
138,72.8,3,2,4,5-aminopentanoic acid,,C5H11NO2,117.15,C(CCN)CC(=O)O,63.3,0,8
139,605,3,3,5,"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol",6.7,C27H48O3,420.7,CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,60.7,0,30
140,624,4,4,6,"17-(7-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol",5.3,C27H48O4,436.7,CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO,80.9,0,31
141,958,16,7,8,"(3,4-dihydroxy-5-oxooxan-2-yl) [[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate",-6.1,C14H20N2O16P2,534.26,C1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O,268,0,34
142,320,7,3,1,"2-(6-aminopurin-9-yl)-5-methyloxolane-3,4-diol",,C10H13N5O3,251.24,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,119,0,18
144,272,4,4,3,2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid,,C11H12N2O3,220.22,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,99.3,0,16
145,233,7,4,5,"2,3-dihydroxy-5-oxohexanedioic acid",-2.1,C6H8O7,192.12,C(C(C(C(=O)O)O)O)C(=O)C(=O)O,132,0,13
149,352,8,3,3,"2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",,C11H15N5O3S,297.34,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,145,0,20
150,242,8,5,3,"(5-amino-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate",-6.2,C5H12NO7P,229.13,C(C1C(C(C(O1)N)O)O)OP(=O)(O)O,142,0,14
151,399,9,6,6,"[5-[(2-formamidoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",-4.3,C8H15N2O9P,314.19,C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)(O)O,175,0,20
152,346,9,6,5,"[5-[(2-aminoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",-6.8,C7H15N2O8P,286.18,C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O,172,0,18
153,366,9,5,4,"[5-(5-aminoimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",-3.6,C8H14N3O7P,295.19,C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N,160,0,19
154,413,9,6,6,"[5-[(1-amino-2-formamidoethylidene)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",-4.6,C8H16N3O8P,313.20,C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O,184,0,20
155,207,4,4,2,4-(carbamoylamino)-1H-imidazole-5-carboxylic acid,-0.6,C5H6N4O3,170.13,C1=NC(=C(N1)C(=O)O)NC(=O)N,121,0,12
156,116,4,2,0,"5,6,7,8-tetrahydropteridine",0.3,C6H8N4,136.15,C1CNC2=NC=NC=C2N1,49.8,0,10
157,201,7,5,5,"2,3,4,6-tetrahydroxy-5-oxohexanoic acid",-3,C6H10O7,194.14,C(C(=O)C(C(C(C(=O)O)O)O)O)O,135,0,13
158,469,5,3,12,7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]hept-5-enoic acid,,C20H32O5,352.5,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,94.8,0,25
159,484,5,3,10,"5-[5-hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid",2.9,C20H32O5,352.5,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,87,0,25
160,432,5,4,12,"7-[3,5-dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid",,C20H34O5,354.5,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,98,0,25
161,887,16,9,9,"[[3-(2-amino-4-oxo-4a,7,8,8a-tetrahydro-3H-pteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate",-9.6,C9H18N5O13P3,497.19,C1C(=NC2C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,292,0,30
162,318,5,2,1,"6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,C8H12N2O3S,216.26,CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C,109,0,14
163,1560,24,10,26,"7-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-7-oxoheptanoic acid",-5,C28H46N7O19P3S,909.7,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O,426,0,58
164,232,5,2,5,2-amino-6-diazo-5-oxohexanoic acid,,C6H9N3O3,171.15,C(CC(=O)C=[N+]=[N-])C(C(=O)O)N,82.4,0,12
165,240,5,3,4,"5-amino-2,6-dihydroxy-6-oxohex-1-ene-1-diazonium",-2.2,C6H10N3O3+,172.16,C(CC(=C[N+]#N)O)C(C(=O)O)N,112,1,12
166,419,6,4,2,"1-(2-amino-4-oxo-4a,5,6,7,8,8a-hexahydro-3H-pteridin-6-yl)propane-1,2-dione",-3,C9H13N5O3,239.23,CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N,126,0,17
167,259,2,0,0,"6,7-dihydropteridine",-0.9,C6H6N4,134.14,C1CN=C2C(=N1)C=NC=N2,49.4,0,10
168,528,14,9,6,"[3,4,5-trihydroxy-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methyl dihydrogen phosphate",-6.4,C12H23O14P,422.28,C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O,236,0,27
169,421,4,3,14,"5,12-dihydroxyicosa-6,8,10,14-tetraenoic acid",4.1,C20H32O4,336.5,CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O,77.8,0,24
172,643,1,1,5,"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",8,C27H44O,384.6,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,20.2,0,28
173,180,4,2,7,8-amino-7-oxononanoic acid,-2.2,C9H17NO3,187.24,CC(C(=O)CCCCCC(=O)O)N,80.4,0,13
